Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Customer delivery fee,Customer delivery fee tax,Bag fee,Bottle deposit fee,Bottle deposit fee tax,Staff tip,Courier tip,Commission,Commission tax,Payment processing fee,Alcohol flat fee,Tablet fee,Printer fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Customer fee tax remitted by DoorDash to tax authorities,Tax remitted by DoorDash on fees DoorDash charges to merchant,Payout ID,Payout status
419558,Cheers On Demand,63275,Cheers on Demand (Fillmore St),NULL,2025-10-02,USD,Marketplace,636.73,54.50,0.00,0.00,0.00,1.00,0.08,2.06,0.00,-125.44,0.00,0.00,0.00,0.00,0.00,-6.08,-5.00,-10.00,0.00,10.00,0.00,0.00,0.00,557.85,631.73,0.00,0.00,0.00,518759507,PAID
419558,Cheers On Demand,63275,Cheers on Demand (Fillmore St),NULL,2025-09-25,USD,Marketplace,1438.70,123.68,0.00,0.00,0.00,0.70,0.05,0.00,0.00,-286.76,0.00,0.00,0.00,0.00,0.00,-12.99,-5.00,-20.00,0.00,20.00,0.00,0.00,0.00,1258.38,1433.70,0.00,0.00,0.00,516694592,PAID
56433,The Wine & Cheese Bar,129913,The Wine & Cheese Bar (Fillmore St),NULL,2025-10-02,USD,Marketplace,25.98,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.24,25.98,0.00,0.00,0.00,518682186,PAID
56433,The Wine & Cheese Bar,129913,The Wine & Cheese Bar (Fillmore St),NULL,2025-10-02,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,518682186,PAID
56433,The Wine & Cheese Bar,129913,The Wine & Cheese Bar (Fillmore St),NULL,2025-09-25,USD,Marketplace,45.95,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.42,0.00,0.00,0.00,0.00,0.00,-0.99,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,34.07,40.95,0.00,0.00,0.00,516500832,PAID
56433,The Wine & Cheese Bar,129913,The Wine & Cheese Bar (Fillmore St),NULL,2025-09-25,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,516500832,PAID
74518,The Ice Cream Lab,129914,The Ice Cream Lab (Fillmore St),NULL,2025-10-03,USD,Marketplace,39.96,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.43,0.00,0.00,0.00,0.00,0.00,-0.99,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,27.56,34.96,0.00,0.00,0.00,518853539,PAID
74518,The Ice Cream Lab,129914,The Ice Cream Lab (Fillmore St),NULL,2025-10-03,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,518853539,PAID
74518,The Ice Cream Lab,129914,The Ice Cream Lab (Fillmore St),NULL,2025-09-29,USD,Marketplace,25.98,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,25.98,0.00,0.00,0.00,517975324,PAID
74518,The Ice Cream Lab,129914,The Ice Cream Lab (Fillmore St),NULL,2025-09-25,USD,Marketplace,38.96,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.17,0.00,0.00,0.00,0.00,0.00,-0.99,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,26.73,33.96,0.00,0.00,0.00,517039682,PAID
74518,The Ice Cream Lab,129914,The Ice Cream Lab (Fillmore St),NULL,2025-09-25,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.45,0.00,0.00,0.00,0.00,517039682,PAID
74518,The Ice Cream Lab,129914,The Ice Cream Lab (Fillmore St),NULL,2025-09-22,USD,Marketplace,12.99,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.16,0.00,0.00,0.00,0.00,0.00,-0.99,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.53,7.99,0.00,0.00,0.00,516147055,PAID
189768,Food & Liquor World,394811,Food & Liquor World,NULL,2025-09-25,USD,Marketplace,29.97,2.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.56,29.97,0.00,0.00,0.00,516549686,PAID
