"payout_date","payout_type","store_name","street_address","grubhub_store_id","store_number","distribution_id","short_distribution_id","deposit_id","order_number","transaction_date","transaction_time_local","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_id"
"2025-10-03","Month End","Danny's Desserts","1147 West Chester Pike ","2560441",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIBlVVGpHFFCfKKIZEdiM59d",,"AQAAAAAAJxG5AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","673431164058175","2025-09-25","04:54:00 PM","Prepaid Order","Grubhub Delivery","GH+","15.67","0.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.43","-2.35","-1.57","0.00","-0.71","-0.76","0.00","-3.00","0.00","8.04","BwEAAAAAACcRucq2azCaTBHwqzG7oJ1sAzU"
"2025-10-03","Month End","Sensai Sushi Bar","4225 W Bell Rd  ","3309744","W Bell Rd","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQID4aBDHRBZFnZ8aJW7Mi1ys",,"AQAAAAAAMoCwAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","358631170944837","2025-09-25","09:47:00 PM","Cancellation","Grubhub Delivery","GH+","-50.06","-3.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-53.94","7.51","5.01","0.00","1.79","0.00","0.00","5.00","0.00","-34.63","CQMAAAAAADKAsEqOUgCajhHwkgGbcZPgsLwAAAAB"
"2025-10-03","Month End","Maya's Fish and Chips","1156 S Bay Rd  ","3310252","South Bay Road","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIC7YQfpHENK0o90J-WEvu3I",,"AQAAAAAAMoKsAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","662131199374228","2025-09-28","04:25:00 PM","Prepaid Order","Grubhub Delivery","GH+","25.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.68","-3.85","-2.57","0.00","-0.99","0.00","0.00","-3.00","0.00","15.27","BwEAAAAAADKCrDNmyUCcoBHwiUGVY-c2wTQ"
"2025-10-03","Month End","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQID1CmyZx8BCN4EdrlyLND0a",,"AQAAAAAAHZQkAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","644831219765723","2025-09-30","01:10:00 AM","Prepaid Order","Grubhub Delivery","GH+","29.16","2.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","31.31","-4.37","-2.92","0.00","-1.10","0.00","0.00","-5.00","0.00","17.92","BwEAAAAAAB2UJFbkFtCdtxHwltFtVscQxjc"
"2025-10-03","Month End","Jay's Breakfast Bar","4352 E Speedway Blvd ","2460021",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDsL9JITbBH9pQ66v1FZFyW",,"AQAAAAAAJYl1AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","911031179415825","2025-09-26","11:12:00 AM","Prepaid Order","Grubhub Delivery","GH+","25.98","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.98","-3.90","-2.60","0.00","-1.06","0.00","0.00","-3.00","0.00","17.42","BwEAAAAAACWJdbY2otCa_hHwotEXOyjTVN4"
"2025-09-26","ACH","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYID1CmyZx8BCN4EdrlyLND0a","25092624lyLND0a","AQAAAAAAHZQkAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","453031121062499","2025-09-21","01:17:00 PM","Prepaid Order","Grubhub Delivery","GH+","23.97","1.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.65","-3.60","-2.40","0.00","-0.93","0.00","0.00","-5.00","0.00","13.72","BwEAAAAAAB2UJHLyOzCXChHwuzHz-lmtBIE"
"2025-10-03","Month End","BBQ Ribs Co.","820 Pennsylvania Ave ","2116039",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICzOzBLLGZG25R7n0v_KUtm",,"AQAAAAAAIEnHAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","416431156264167","2025-09-24","03:52:01 PM","Order Adjustment","Grubhub Delivery","GH+","-14.99","-1.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-16.04","0.00","0.00","0.00","0.00","1.05","0.00","0.00","0.00","-14.99","CQMAAAAAACBJxwgn3MCZVxHwnMFZ5vQC7fQAAAAB"
"2025-10-03","Month End","Green Leaf Salads","1306 Atlantic Ave  ","6891720","Wholesome Farms Market - 1306 Atlantic Ave","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICI6wDap2hOtbkrZXmUPsJD",,"AQAAAAAAaSjIAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","956531154925247","2025-09-24","01:25:00 PM","Prepaid Order","Grubhub Delivery","GH+","23.47","1.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.11","-3.52","-2.35","0.00","-0.91","0.00","0.00","-5.00","0.00","13.33","BwEAAAAAAGkoyEC0aXCZZBHwqXERVp6zWyo"
"2025-10-03","Month End","Penny's Pancakes","1237 Fulton Street  ","1968311",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDCXC5r2hNA378Tfy96aqsT",,"AQAAAAAAHgi3AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","324731183998523","2025-09-27","09:50:00 AM","Prepaid Order","Grubhub Delivery","GH+","22.77","2.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.79","-3.42","-2.28","0.00","-1.06","0.00","0.00","0.00","0.00","18.03","BwEAAAAAAB4It2c5BRCboxHwhRGpTQtXAGw"
"2025-09-26","ACH","American Hot Dog Bar","854 N Broadway  ","3311248","N Broadway","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIBjeI_0dslHqq5jhECx7qa_","25092624ECx7qa_","AQAAAAAAMoaQAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","948931133840094","2025-09-22","07:29:00 PM","Prepaid Order","Grubhub Delivery","non GH+","30.46","2.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.01","-4.57","-3.05","0.00","-1.31","0.00","0.00","0.00","0.00","24.08","BwEAAAAAADKGkE06JQCYBRHwpQGV_eO2mtA"
