"payout_date","payout_type","distribution_id","short_distribution_id","deposit_id","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","prepaid_order_count","cash_order_count","cancellation_order_count","order_adjustment_count","on_demand_delivery_fees_count","misc_payment_count","subtotal_sales","cash_order_subtotal_sales_paid_at_store","subtotal_sales_adjustments","subtotal_voided_from_cancellations","subtotal_sales_payout","sales_tax","cash_order_sales_tax_paid_at_store","sales_tax_adjustments","sales_tax_voided_from_cancellations","withheld_sales_tax","disbursed_sales_tax","self_delivery_charge","merchant_service_fee","merchant_flexible_fees","tip","commission","delivery_commission","on_demand_delivery_fee","gh_plus_commission","processing_fee","merchant_funded_promotion","merchant_funded_loyalty","account_adjustments","payout_fee","payout_amount"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIBvWZhj3GZD_4ilxyGOi2du",,"AQAAAAAAKaAvAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2727983",,"Philly Cheesesteak Artists","755 9th Ave  ","New York","NY","10019","1","0","0","0","0","0","21.78","0.00","0.00","0.00","21.78","1.93","0.00","0.00","0.00","0.00","1.93","0.00","0.00","0.00","0.00","-3.27","-2.18","0.00","0.00","-1.02","0.00","0.00","0.00","0.00","17.24"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAgsOV_fKxGpqNVjpGFWXjd",,"AQAAAAAAKo9VAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2789205",,"Charlie's Calzone Co (Bergen Turnpike)","4410 Bergen Turnpike  ","North Bergen","NJ","07047","2","0","0","0","0","0","37.85","0.00","0.00","0.00","37.85","1.84","0.00","0.00","0.00","0.00","1.84","0.00","0.00","0.00","0.00","-5.68","-3.79","0.00","0.00","-1.51","-10.00","0.00","0.00","0.00","18.71"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAGi4lKYR5Pd4uE8q3srCOj",,"AQAAAAAAgsAwAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","8568880",,"Casa De Quesadilla","4352 E Speedway Blvd  ","Tucson","AZ","85712","1","0","0","1","0","0","28.48","0.00","-4.99","0.00","23.49","2.04","0.00","-0.43","0.00","0.00","1.61","0.00","0.00","0.00","0.00","-4.27","-2.85","0.00","0.00","-1.08","-5.00","0.00","0.00","0.00","11.90"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICORIRukSxJ8KU4s8Ii6T9J",,"AQAAAAAAMoImAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","3310118","W Indian School Rd","Fried Rice Fanatic","400 W Indian School Rd  ","Phoenix","AZ","85013","3","0","0","0","0","0","72.03","0.00","0.00","0.00","72.03","5.74","0.00","0.00","0.00","0.00","5.74","0.00","0.00","0.00","0.00","-10.80","-7.21","0.00","0.00","-3.00","-9.00","0.00","0.00","0.00","47.76"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDGQWoz9I1JWqqCdDVP4-iw",,"AQAAAAAASdDAAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","4837568","319 Rogers Ave","Olivia's Breakfast Cafe","319 Rogers Ave  ","Brooklyn","NY","11225","2","0","0","0","0","0","37.12","0.00","0.00","0.00","37.12","2.41","0.00","0.00","0.00","0.00","2.41","0.00","0.00","0.00","0.00","-4.08","-3.72","0.00","0.00","0.00","-10.00","0.00","0.00","0.00","21.73"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIC3ytmzEOtLyKlP68wLfiTy","250926248wLfiTy","AQAAAAAAHcADAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","1949699",,"Chucks Cheesesteaks","1338 Polk St ","San Francisco","CA","94109","1","0","0","0","0","0","31.98","0.00","0.00","0.00","31.98","2.76","0.00","0.00","0.00","0.00","2.76","0.00","0.00","0.00","0.00","-4.80","-3.20","0.00","0.00","-1.36","0.00","0.00","0.00","0.00","25.38"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIA9oOTQFslPPIxpyYbgqxhb","25092624Ybgqxhb","AQAAAAAAtBR4AAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","11801720","Dunsbach Rd","Wraps On Tap","77 Dunsbach Rd  ","Clifton Park","NY","12065","2","0","0","0","0","0","47.25","0.00","0.00","0.00","47.25","2.96","0.00","0.00","0.00","0.00","2.96","0.00","0.00","0.00","0.00","-7.09","-4.73","0.00","0.00","-1.98","-5.00","0.00","0.00","0.00","31.41"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIClrNL1bGxO7LLimnOODRWN",,"AQAAAAAAKoY0AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2786868",,"Ali's Gyro Lab","590 32nd St  ","Union City","NJ","07087","1","0","0","0","0","0","15.39","0.00","0.00","0.00","15.39","0.69","0.00","0.00","0.00","0.00","0.69","0.00","0.00","0.00","0.00","-2.31","-1.54","0.00","0.00","-0.64","-5.00","0.00","0.00","0.00","6.59"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAgP0LqIKtIBqwNSZW5O36w",,"AQAAAAAAMopYAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","3312216","Broadway","Jewel's Breakfast Joint","3360 Broadway  ","New York","NY","10031","3","0","0","0","0","0","56.62","0.00","0.00","0.00","56.62","4.49","0.00","0.00","0.00","0.00","4.49","0.00","0.00","0.00","0.00","-8.49","-5.67","0.00","0.00","-2.57","-6.00","0.00","0.00","0.00","38.38"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIBtIBKYwStMQIk71EOQwYGt",,"AQAAAAAAKFp6AAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2644602",,"Local Breakfast Spot","755 9th Ave  #1B","New York","NY","10019","1","0","0","0","0","0","17.47","0.00","0.00","0.00","17.47","1.11","0.00","0.00","0.00","0.00","1.11","0.00","0.00","0.00","0.00","-2.62","-1.75","0.00","0.00","-0.71","-5.00","0.00","0.00","0.00","8.50"
