"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-09-22","2025-10-05","4839144","319 Rogers Ave","The Gyro Bar","319 Rogers Ave  ","Brooklyn","NY","11225","16","335.42","0.00","0.00","26.99","0.00","362.41","-37.99","-34.57","0.00","0.00","0.00","-31.27","258.58"
"2025-09-22","2025-10-05","9815144","3rd","Mia's Quesadillas","296 3rd Ave  ","New York","NY","10010","2","33.58","0.00","0.00","2.10","0.00","35.68","-4.29","-3.36","0.00","-1.38","0.00","-10.00","16.65"
"2025-09-22","2025-10-05","10932296","2nd Ave","Philly Cheesesteak Company","5423 2nd Ave  ","Brooklyn","NY","11220","2","39.14","0.00","0.00","2.63","0.00","41.77","-5.88","-3.92","0.00","-1.58","0.00","-9.54","20.85"
"2025-09-22","2025-10-05","9816344","1929 Chestnut St","Mary's Chicken Sandwiches","1929 Chestnut St  ","Philadelphia","PA","19103","1","39.57","0.00","0.00","2.93","0.00","42.50","-5.94","-3.96","0.00","-1.50","-2.93","-3.00","25.17"
"2025-09-22","2025-10-05","3310025","10th Ave","Indian Biryani Snob","716 10th Ave ","New York","NY","10019","7","179.80","0.00","0.00","13.31","0.00","193.11","-26.99","-17.99","0.00","-6.79","0.00","-30.00","111.34"
"2025-09-22","2025-10-05","9824208","Morris Park","The Burger Blade","682 Morris Park Ave  ","Bronx","NY","10462","2","164.05","0.00","0.00","6.32","0.00","170.37","-24.61","-16.41","0.00","-5.61","0.00","-6.00","117.74"
"2025-09-22","2025-10-05","1967490",,"The Omelette Farm","589 1st Avenue ","New York","NY","10016","14","248.67","0.00","0.00","18.52","0.00","267.19","-38.50","-25.68","0.00","-11.39","0.00","-40.00","151.62"
"2025-09-22","2025-10-05","9821064","Broadway","Two Hand Burger","4083 Broadway  ","New York","NY","10032","4","106.99","0.00","0.00","8.44","0.00","115.43","-16.05","-10.71","0.00","-4.37","0.00","-12.00","72.30"
"2025-09-22","2025-10-05","2191911",,"Joe's Chicken and Waffles","5155 3rd Street  ","San Francisco","CA","94124","3","60.29","0.00","0.00","3.90","0.00","64.19","-9.04","-6.03","0.00","-2.40","0.00","-15.00","31.72"
"2025-09-22","2025-10-05","2644600",,"Flavor of Greek","122 E 57th St #1A  ","New York","NY","10022","2","34.98","0.00","0.00","1.06","0.00","36.04","-5.25","-3.50","0.00","-1.40","0.00","-10.00","15.89"
"2025-09-22","2025-10-05","2741201",,"Healthy Salad Bar","1760 3rd Ave  ","New York","NY","10029","2","42.34","0.00","0.00","3.76","0.00","46.10","-6.35","-4.24","0.00","-2.01","0.00","0.00","33.50"
"2025-09-22","2025-10-05","7099080","Jonny's Place - 370 Main St","Jewel's Breakfast Joint","370 Main St  ","East Orange","NJ","07018","3","147.61","0.00","0.00","9.26","0.00","156.87","-21.39","-14.76","0.00","-5.14","0.00","-8.00","107.58"
"2025-09-22","2025-10-05","2773358",,"The Gourmet Burger (1st Ave)","1741 1st Avenue  ","New York","NY","10128","1","35.96","0.00","0.00","2.75","0.00","38.71","-5.39","-3.60","0.00","-1.33","0.00","-5.00","23.39"
"2025-09-22","2025-10-05","9794768","18 S Abbott Ave","Dum Biryani Snob","18 S Abbott Ave  ","Milpitas","CA","95035","17","280.83","0.00","0.00","19.22","0.00","300.05","-43.22","-29.46","0.00","-12.38","0.00","-76.00","138.99"
"2025-09-22","2025-10-05","2847690",,"Greek Gyro Spot (Bedford Ave)","265 Bedford Ave  ","New York","NY","11211","2","68.32","0.00","0.00","5.63","0.00","73.95","-10.25","-6.84","0.00","-2.71","0.00","-5.00","49.15"
