"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2025-09-22","2025-10-05","2794277",,"French Omelette Bar","1760 3rd Ave  ","New York","NY","10029","2","0",,"0",,"0",,"43.93","0.00","0.00","0.00","43.93","1","0.500","1","0.500","0","0","2","00:08:00.000","00:02:00.000","00:14:00.000","00:29:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","7753808","Oakwood Bagels - 101 Guyon Ave","Doughboys Sandwiches","101 Guyon Ave  ","Staten Island","NY","10306","7","1","0.143","1","0.143","1","0.143","169.72","-9.97","-38.75","-38.75","121.00","3","0.429","5","0.714","0","0","7","00:02:54.000","00:02:30.000","00:19:06.000","00:51:24.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10075344","E Arapaho Rd","Roll N Chop Sushi's","1401 E Arapaho Rd  ","Richardson","TX","75081","2","0",,"0",,"0",,"46.16","0.00","0.00","0.00","46.16","2","1.000","1","0.500","0","0","2","00:01:00.000","00:00:00.000","00:13:30.000","00:31:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2116739",,"Veronica's Burrito Bar","25-02 Queens Plaza S ","Long Island City","NY","11101","1","0",,"0",,"0",,"31.52","0.00","0.00","0.00","31.52","1","1.000","0",,"0","0","1","00:01:00.000","00:00:00.000","00:07:00.000","00:17:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3311052","Washington Blvd","India's Quick Bites","10700 Washington Blvd  ","Culver City","CA","90232","1","0",,"0",,"0",,"15.98","0.00","0.00","0.00","15.98","0",,"1","1.000","0","0","1","00:10:00.000","00:00:00.000","00:02:00.000","00:21:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10382520","E Speedway","Danny's Desserts","4352 E Speedway Blvd  ","Tucson","AZ","85712","4","0",,"0",,"0",,"49.95","0.00","0.00","0.00","49.95","4","1.000","4","1.000","0","0","4","00:00:49.800","00:00:30.000","00:18:49.800","00:45:19.800","1","1","0","0","0","0","0"
"2025-09-22","2025-10-05","5849256","East Main St","City Light Wraps","1947 E Main St  ","Ventura","CA","93001","1","0",,"0",,"0",,"74.94","0.00","0.00","0.00","74.94","0",,"1","1.000","0","0","1","00:11:00.000","00:07:00.000","00:17:00.000","00:44:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9837376","265 Bedford Ave","Mary's Chicken Sandwiches","265 Bedford Ave  ","Brooklyn","NY","11211","3","0",,"0",,"0",,"82.54","0.00","0.00","0.00","82.54","1","0.333","2","0.667","0","0","3","00:11:40.200","00:07:00.000","00:12:19.800","00:43:40.200","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3310336","Sullivan St","Julia's Juice Shack","240 Sullivan St  ","New York","NY","10012","1","0",,"0",,"0",,"22.36","0.00","0.00","0.00","22.36","1","1.000","1","1.000","0","0","1","00:11:00.000","00:03:00.000","00:20:00.000","00:44:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3310448","3rd Ave","The French Fries God","1760 3rd Ave  ","New York","NY","10029","4","0",,"0",,"0",,"69.39","0.00","0.00","0.00","69.39","4","1.000","3","0.750","0","0","4","00:11:50.400","00:03:00.000","00:06:00.000","00:26:20.400","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8570072",,"Carmen's Breakfast Burritos","4352 E Speedway Blvd  ","Tucson","AZ","85712","1","0",,"0",,"0",,"17.99","0.00","0.00","0.00","17.99","1","1.000","1","1.000","0","0","1","00:03:00.000","00:03:00.000","00:28:00.000","00:59:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10363728","Polk St","Breakfast Burrito Floozy","1428 Polk St  ","San Francisco","CA","94109","1","0",,"0",,"0",,"19.99","0.00","0.00","0.00","19.99","1","1.000","1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:13:00.000","00:35:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3310756","N Broadway","London's Fish N Chips","854 N Broadway  ","White Plains","NY","10603","3","0",,"0",,"0",,"111.92","0.00","0.00","0.00","111.92","1","0.333","2","0.667","0","0","3","00:02:00.000","00:00:00.000","00:09:19.800","00:23:40.200","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8569944",,"Top Panini Shop","1175 2nd Ave  ","New York","NY","10065","4","0",,"1","0.250","1","0.250","94.93","0.00","-40.96","-40.96","53.97","2","0.500","3","0.750","0","0","4","00:03:00.000","00:00:00.000","00:09:19.800","00:18:40.200","1","1","0","0","0","0","0"
"2025-09-22","2025-10-05","4831632","1 Kedron Ave Unit 4","Stromboli House","1 Kedron Ave  ","Morton","PA","19070","1","0",,"0",,"0",,"62.34","0.00","0.00","0.00","62.34","0",,"1","1.000","0","0","1","00:17:00.000","00:17:00.000","00:11:00.000","00:44:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","5851848","Broadway","The Acai Dream","689 Broadway  ","New York","NY","10012","3","0",,"0",,"0",,"167.92","0.00","0.00","0.00","167.92","1","0.333","2","0.667","0","0","3","00:05:19.800","00:00:00.000","00:09:40.200","00:23:19.800","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2744794",,"Hero Sandwich Shop","1760 3rd Ave  ","New York","NY","10029","3","0",,"0",,"0",,"68.70","0.00","0.00","0.00","68.70","1","0.333","3","1.000","0","0","3","00:08:40.200","00:05:19.800","00:17:00.000","00:38:40.200","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6897992","Taste King Restaurant - 10763 Bustleton Ave","Sensai Sushi Bar","10763 Bustleton Ave  ","Philadelphia","PA","19116","1","0",,"1","1.000","1","1.000","58.97","0.00","-58.97","-58.97","0.00","1","1.000","1","1.000","0","0","1",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2567535",,"The Acai Station","1424 Lexington Ave  ","New York","NY","10128","3","0",,"0",,"0",,"101.95","0.00","0.00","0.00","101.95","0",,"0",,"0","0","3","00:08:00.000","00:07:19.800","00:14:19.800","00:32:19.800","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","6157024","278 N Brewster Rd","Nico's Italian Ristorante","278 N Brewster Rd  ","Brewster","NY","10509","1","0",,"0",,"0",,"16.49","0.00","0.00","0.00","16.49","1","1.000","1","1.000","0","0","1","00:01:00.000","00:01:00.000","00:13:00.000","00:46:00.000","1","0","1","0","0","0","0"
"2025-09-22","2025-10-05","3309831","3rd St","Addictive Fried Chicken","5155 3rd St  ","San Francisco","CA","94124","3","0",,"0",,"0",,"60.70","0.00","0.00","0.00","60.70","1","0.333","3","1.000","0","0","3","00:02:45.000","00:02:15.000","00:15:15.000","00:37:45.000","1","1","0","0","0","0","0"
"2025-09-22","2025-10-05","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","4","0",,"0",,"0",,"69.89","0.00","0.00","0.00","69.89","1","0.250","2","0.500","0","0","4","00:02:15.000","00:01:15.000","00:08:30.000","00:24:00.000","1","0","1","0","0","0","1"
"2025-09-22","2025-10-05","10600960","2nd Ave","Brenda's Panini Palace","53 2nd Ave  ","New York","NY","10003","1","0",,"0",,"0",,"19.99","0.00","0.00","0.00","19.99","1","1.000","1","1.000","0","0","1","00:02:00.000","00:00:00.000","00:03:00.000","00:15:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3310812","Hillside Ave","Top Panini Shop","164-01 Hillside Avenue  ","Jamaica","NY","11432","4","0",,"0",,"0",,"68.71","0.00","0.00","0.00","68.71","4","1.000","3","0.750","0","0","4","00:03:30.000","00:00:00.000","00:14:30.000","00:31:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2786288",,"Palm Tree Juice Bar (1st Ave)","217 1st Ave  ","New York","NY","10003","4","0",,"0",,"0",,"116.91","0.00","0.00","0.00","116.91","2","0.500","3","0.750","0","0","4","00:06:30.000","00:02:00.000","00:25:45.000","00:42:30.000","1","1","0","0","0","0","0"
"2025-09-22","2025-10-05","9811896","Mission","Holly's Burger Bar","3349 Mission St  ","San Francisco","CA","94110","2","0",,"0",,"0",,"54.24","0.00","0.00","0.00","54.24","1","0.500","2","1.000","0","0","2","00:11:30.000","00:10:30.000","00:10:30.000","00:39:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3300981","Broadway","The Classic Juice","3360 Broadway  ","New York","NY","10031","1","0",,"0",,"0",,"18.98","0.00","0.00","0.00","18.98","1","1.000","1","1.000","0","0","1","00:05:00.000","00:05:00.000","00:20:00.000","01:14:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3309992","1st Avenue","La Mexicana Quesadilla","217 1st Ave.  ","New York","NY","10003","3","0",,"0",,"0",,"99.93","0.00","0.00","0.00","99.93","2","0.667","2","0.667","0","0","3","00:05:40.200","00:00:00.000","00:12:40.200","00:31:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2634355",,"Bosscat Wings","1116 Polk St ","San Francisco","CA","94109","1","0",,"0",,"0",,"69.94","0.00","0.00","0.00","69.94","1","1.000","0",,"0","0","1","00:09:00.000","00:03:00.000","00:09:00.000","00:22:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","8566136",,"Luna's Loaded Fries","4352 E Speedway Blvd  ","Tucson","AZ","85712","6","0",,"0",,"0",,"148.65","0.00","0.00","0.00","148.65","2","0.333","6","1.000","0","0","6","00:02:06.000","00:00:42.000","00:19:42.000","00:36:06.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","23","0",,"0",,"0",,"474.68","0.00","0.00","0.00","474.68","14","0.609","18","0.783","0","0","23","00:01:45.000","00:00:30.000","00:16:57.600","00:36:15.000","4","3","0","1","0","0","0"
