"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","880831190969473","2025-09-28","05:40:29 PM","Sunday","5 PM","America/New_York","3310756","N Broadway","London's Fish N Chips","854 N Broadway  ","White Plains","NY","10603","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","61.97","0.00","61.97","0.00","0.00","4.77","0.00","66.74","-9.30","-6.20","0.00","-2.18","0.00","-5.00","44.06","20","10","20","20","31","0","Early",,
"Marketplace","348431133520318","2025-09-22","06:32:27 AM","Monday","6 AM","America/New_York","4839144","319 Rogers Ave","The Gyro Bar","319 Rogers Ave  ","Brooklyn","NY","11225","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","58.12","0.00","58.12","0.00","0.00","4.89","0.00","63.01","-6.39","-5.81","0.00","0.00","0.00","-3.00","47.81","16","24","13","26","39","10","Late",,
"Marketplace","673431164058175","2025-09-25","04:19:41 PM","Thursday","4 PM","America/New_York","2560441",,"Danny's Desserts","1147 West Chester Pike ","West Chester","PA","19382","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","15.67","0.00","15.67","0.00","0.00","0.76","0.00","16.43","-2.35","-1.57","0.00","-0.71","-0.76","-3.00","8.04","11","1","16","17","27","1","Early",,
"Marketplace","355831197516302","2025-09-28","09:12:15 AM","Sunday","9 AM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","10.29","0.00","10.29","0.00","0.00","0.91","0.00","11.20","-1.54","-1.03","0.00","-0.64","0.00","0.00","7.99","9","8","14","20","23","7","On-time",,
"Marketplace","710331253524178","2025-10-04","11:11:59 AM","Saturday","11 AM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","30.77","0.00","30.77","0.00","0.00","2.20","0.00","32.97","-4.62","-3.08","0.00","-1.12","0.00","-6.00","18.15","8","8","8","9","15","1","On-time",,
"Marketplace","281731257574140","2025-10-04","01:49:05 PM","Saturday","1 PM","America/New_York","4512360","1424 Lexington Ave","Top Panini Shop","1424 Lexington Ave  ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","34.46","0.00","34.46","0.00","0.00","2.53","0.00","36.99","-5.17","-3.45","0.00","-1.25","0.00","-6.00","21.12","20","489","6","21","38","1","On-time",,
"Marketplace","249531231943623","2025-10-02","07:07:46 PM","Thursday","7 PM","America/New_York","3310252","South Bay Road","Maya's Fish and Chips","1156 S Bay Rd  ","Dover","DE","19901","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","31.28","0.00","31.28","0.00","0.00","0.00","0.00","31.28","-4.69","-3.13","0.00","-1.16","0.00","-3.00","19.30","20","12","24","27","57","3","Early",,
"Marketplace","721631254191082","2025-10-04","07:49:23 PM","Saturday","7 PM","America/New_York","9816352","168 Myrtle Ave","Daybreak Breakfast Club","168 Myrtle Ave  ","Brooklyn","NY","11201","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","20.98","0.00","20.98","0.00","0.00","1.42","0.00","22.40","-3.15","-2.10","0.00","-0.83","0.00","-5.00","11.32","15","44","44","45","48","1","Late",,
"Marketplace","268031249850384","2025-10-03","10:26:47 AM","Friday","10 AM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","15.38","0.00","15.38","0.00","0.00","0.92","0.00","16.30","-2.31","-1.54","0.00","-0.64","0.00","-5.00","6.81","10","7","2","7","16","0","On-time",,
"Marketplace","443831247740482","2025-10-03","11:22:15 AM","Friday","11 AM","America/New_York","7325384","Picante Taco- 411 S High St","Fire House Quesadillas","411 S High St  ","Baltimore","MD","21202","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","21.88","0.00","21.88","0.00","0.00","1.13","0.00","23.01","-3.28","-2.19","0.00","-0.91","-1.13","-3.00","12.50","20",,"13","15","40","0","On-time",,
"Marketplace","692531254272683","2025-10-03","09:42:16 PM","Friday","9 PM","America/New_York","3310890","George St","Vegetarian Sandwiches Boss","228 George St  ","New Brunswick","NJ","08901","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","18.17","0.00","18.17","0.00","0.00","0.87","0.00","19.04","-2.73","-1.82","0.00","-0.73","0.00","-5.00","8.76","20","7","32","34","48","2","Early",,
"Marketplace","328131267088093","2025-10-04","10:51:03 PM","Saturday","10 PM","America/New_York","2560441",,"Danny's Desserts","1147 West Chester Pike ","West Chester","PA","19382","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","11.38","0.00","11.38","0.00","0.00","0.50","0.00","11.88","-1.71","-1.14","0.00","-0.57","-0.50","-3.00","4.96","14","40","46","46","60","1","Late",,
"Marketplace","253631228615777","2025-10-01","05:34:22 PM","Wednesday","5 PM","America/New_York","3310775","Hoover Rd","Greek Gyro Spot","28501 Hoover Rd  ","Warren","MI","48093","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","10.49","0.00","10.49","0.00","0.00","0.45","0.00","10.94","-1.57","-1.05","0.00","-0.54","-0.45","-3.00","4.33","20",,"16","17","29","0","On-time",,
"Marketplace","922831256966571","2025-10-04","04:29:10 PM","Saturday","4 PM","America/New_York","8566088",,"The Calzone Empire","2511 Washington Blvd  ","Baltimore","MD","21230","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","54.57","0.00","54.57","0.00","0.00","2.97","0.00","57.54","-8.19","-5.46","0.00","-1.90","-2.97","-5.00","34.02","15","68","48","67","85","19","Late",,
"Marketplace","135631263966733","2025-10-04","10:02:45 PM","Saturday","10 PM","America/New_York","11801712","Thomas S Boyland St","Luke's Breakfast Club","116 Thomas S Boyland St  ","Brooklyn","NY","11233","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","25.18","0.00","25.18","0.00","0.00","1.70","0.00","26.88","-3.78","-2.52","0.00","-0.94","0.00","-6.00","13.64","15","127","16","19","47","3","On-time",,
