"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Chef's Salads","Grilled Salmon Salad","4","79.96","4","1","19.99","1","3","59.97","3"
"Wraps","Spicy Chicken Wrap","1","16.28","1","0","0.00","0","0","0.00","0"
"Ultimate Breakfast Burritos","Grilled Chicken Breakfast Burrito","1","19.99","1","1","19.99","1","0","0.00","0"
"Sides","Pizza Rolls","1","13.07","1","1","13.07","1","0","0.00","0"
"Sweet Griddle Favorites","Banana Pancakes","1","12.59","1","1","12.59","1","0","0.00","0"
"Sides","Side of Bacon","4","13.96","4","2","7.98","2","1","2.99","1"
"Waffles","Belgian Waffles","2","30.76","2","2","30.76","2","0","0.00","0"
"Breakfast Sandwiches","Bagel with CreamCheese","1","4.49","1","0","0.00","0","0","0.00","0"
"Market Fresh Salads","Crispy Bacon Salad with Red Onions, Bell Peppers, and Mozzarella","1","18.18","1","1","18.18","1","0","0.00","0"
"Shawarma Bar","Lamb Shawarma Sandwich","2","52.98","2","1","26.49","1","0","0.00","0"
"Wild Wings","BBQ Wings","2","31.67","2","1","16.98","1","1","14.69","1"
"Classic Breakfast Platters","French Toast, Sausage, and Egg Platter","2","30.78","2","1","15.39","1","1","15.39","1"
"Fried Chicken","Plain Fried Chicken","5","17.40","2","3","10.44","1","2","6.96","1"
"Signature Smash Burgers","The Double Pepper Smashburger","1","23.79","1","1","23.79","1","0","0.00","0"
"Delicious Drinks","Fountain Drink","1","4.99","1","1","4.99","1","0","0.00","0"
"Greek Shawarma Bar","Shawarma Pita","1","19.07","1","1","19.07","1","0","0.00","0"
"Smoothie Bar","Berry Beet Smoothie","1","16.99","1","0","0.00","0","0","0.00","0"
"Veggie Paninis","Meatless Panini","2","35.98","2","0","0.00","0","1","17.99","1"
"Wrap Bar","The Lemon Monterey Chicken Wrap","1","18.29","1","1","18.29","1","0","0.00","0"
"Loaded Mac N Cheese","Jerk Chicken Mac N Cheese","1","19.29","1","0","0.00","0","1","19.29","1"
"House of Bánh Mì","Crispy Pork Belly Bánh Mì","3","43.36","3","1","14.09","1","1","15.18","1"
"Specialty Desserts","Chocolate Cannolis","3","17.07","3","0","0.00","0","1","5.69","1"
"The Pasta Bowl","Ravioli","2","38.26","2","2","38.26","2","0","0.00","0"
