"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","827731187351182","2025-09-26","10:10:00 PM","America/New_York","4514232","1741 1st Avenue","Hero Sandwich Shop","1741 1st Ave.  ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","16.99","1.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.23","-2.55","-1.70","0.00","-0.76","0.00","0.00","-3.00","0.00","10.22",,"BwEAAAAAAEThuNE4t2CbQRHwt2GdzP3t2ew"
"Marketplace","903731204463304","2025-09-29","11:36:00 AM","America/New_York","1968311",,"Penny's Pancakes","1237 Fulton Street  ","Brooklyn","NY","11216","Prepaid Order","Grubhub Delivery","GH+","19.58","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.88","-2.94","-1.96","0.00","-0.79","0.00","0.00","-4.90","0.00","10.29",,"BwEAAAAAAB4It1B-MjCdRBHwsjEzeVaaBgY"
"Marketplace","092531248128494","2025-10-02","09:29:00 PM","America/Detroit","3310150","Packard St","The Dessert Shack","1200 Packard St  ","Ann Arbor","MI","48104","Prepaid Order","Grubhub Delivery","GH+","18.86","0.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.69","-2.83","-1.89","0.00","-0.75","-0.83","0.00","-5.00","0.00","8.39",,"BwEAAAAAADKCRl4bTxCf9BHwjxEru_3yI9k"
"Marketplace","584231234406464","2025-10-02","11:57:00 AM","America/New_York","9811888","Avenue A","Luke's Breakfast Wraps","93 Avenue A  ","New York","NY","10009","Prepaid Order","Grubhub Delivery","GH+","33.55","2.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","-5.03","-3.36","0.00","-1.22","0.00","0.00","-6.00","0.00","20.39",,"BwEAAAAAAJW3sGxE4dCfoRHwodH_D6w7xkI"
"Marketplace","496331241295439","2025-10-03","12:23:58 AM","America/New_York","10062104","8th Ave","Panini's On Panini's","382 8th Ave  ","New York","NY","10001","Order Adjustment","Grubhub Delivery","GH+","-16.08","-1.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-17.24","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","-14.24",,"CQMAAAAAAJmJGLuuJOCgCBHwpOGbB4hD3aMAAAAB"
"Marketplace","496331241295439","2025-10-03","12:05:00 AM","America/New_York","10062104","8th Ave","Panini's On Panini's","382 8th Ave  ","New York","NY","10001","Prepaid Order","Grubhub Delivery","GH+","16.08","1.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.24","-2.41","-1.61","0.00","-0.73","0.00","0.00","-3.00","0.00","9.49",,"BwEAAAAAAJmJGLuuJOCgCBHwpOGbB4hD3aM"
"Marketplace","802131266351514","2025-10-05","08:54:00 AM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Prepaid Order","Grubhub Delivery","GH+","22.18","1.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.66","-3.33","-2.22","0.00","-0.85","0.00","0.00","-5.55","0.00","11.71",,"BwEAAAAAAB2UJOS7LKKh5RHwrKPxHL0_-j8"
"Marketplace","359731239170543","2025-10-01","11:45:00 PM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Prepaid Order","Grubhub Delivery","GH+","19.68","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.98","-2.95","-1.97","0.00","-0.79","0.00","0.00","-5.00","0.00","10.27",,"BwEAAAAAAB2UJP7ByqCfPRHwiqHr255ipc0"
"Marketplace","721631264198889","2025-10-05","08:00:00 AM","America/New_York","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","Prepaid Order","Grubhub Delivery","non GH+","90.41","5.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","95.65","-13.56","-9.04","0.00","-3.13","-5.24","0.00","-3.00","0.00","61.68",,"BwEAAAAAACPlJnTPMCChoBHwsCH3BPP1mWk"
"Marketplace","491131188347249","2025-09-27","02:08:00 PM","America/New_York","10929240","Amsterdam Ave","The Burger Hole","1213 Amsterdam Ave  ","New York","NY","10027","Prepaid Order","Grubhub Delivery","GH+","16.07","0.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.05","-2.41","-1.61","0.00","-0.67","0.00","0.00","-5.00","0.00","7.36",,"BwEAAAAAAKbEWCu8fDCbyRHwvDEfGZPN0-E"
