Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2025-09-27,false,7f4f62d1-f4c9-4cab-8cfe-67c04d206d32,Order Again & Save,Discount for lapsed customers,2022-11-23,None,63275,Cheers on Demand (Fillmore St),USD,1,68.97,5.00,0.00,0.00,0.99,0.00,0.00,68.97,11.51,0,0,1,0,0,1
2025-10-04,false,7f4f62d1-f4c9-4cab-8cfe-67c04d206d32,Order Again & Save,Discount for lapsed customers,2022-11-23,None,63275,Cheers on Demand (Fillmore St),USD,1,29.97,5.00,0.00,0.00,0.99,0.00,0.00,29.97,5.00,0,0,1,0,0,1
2025-10-05,false,7f4f62d1-f4c9-4cab-8cfe-67c04d206d32,Order Again & Save,Discount for lapsed customers,2022-11-23,None,63275,Cheers on Demand (Fillmore St),USD,1,25.94,5.00,0.00,0.00,0.99,0.00,0.00,25.94,4.33,0,0,1,0,0,0
2025-09-30,false,6d08d92f-934c-4445-a11f-0392e093331c,Spend $X Get $Y,Order discount,2023-10-23,None,129914,The Ice Cream Lab (Fillmore St),USD,1,17.98,5.00,0.00,0.00,0.99,0.00,0.00,17.98,3.00,1,0,1,1,0,1
2025-10-02,false,6d08d92f-934c-4445-a11f-0392e093331c,Spend $X Get $Y,Order discount,2023-10-23,None,129914,The Ice Cream Lab (Fillmore St),USD,1,17.98,5.00,0.00,0.00,0.99,0.00,0.00,17.98,3.00,1,0,1,1,0,1
2025-10-05,false,6d08d92f-934c-4445-a11f-0392e093331c,Spend $X Get $Y,Order discount,2023-10-23,None,129914,The Ice Cream Lab (Fillmore St),USD,1,25.98,5.00,2.00,0.00,0.99,-2.00,0.00,25.98,4.34,1,0,1,1,0,1
2025-09-23,true,f6554294-919e-451c-abc4-585847d436eb,Loyalty Promo - The Breakfast Bar (bus id: 226269),NULL,2023-06-15,2033-06-15,476794,The Breakfast Bar (E Houston Street),USD,1,24.98,5.00,0.00,0.00,0.00,0.00,0.00,24.98,5.00,0,1,1,0,0,0
2025-09-24,true,500b69c5-fade-4d2e-9529-70e74846ae06,Spend $10 get 15% off 09/20/2025,Order discount,2025-09-19,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,1,16.99,2.00,0.00,0.00,0.99,0.00,0.00,16.99,5.68,1,0,1,0,0,0
2025-09-25,true,500b69c5-fade-4d2e-9529-70e74846ae06,Spend $10 get 15% off 09/20/2025,Order discount,2025-09-19,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,1,27.98,2.00,0.00,0.00,0.99,0.00,0.00,27.98,9.36,1,0,1,0,0,0
2025-09-27,true,6bad0e58-35e6-4046-bcdb-21ad39584c5f,Spend $20 get 20% off 09/20/2025,Order discount,2025-09-19,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,1,104.89,7.00,0.00,0.00,0.99,0.00,0.00,104.89,13.13,1,0,1,1,0,1
2025-09-28,true,500b69c5-fade-4d2e-9529-70e74846ae06,Spend $10 get 15% off 09/20/2025,Order discount,2025-09-19,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,1,17.99,2.00,0.00,0.00,0.99,0.00,0.00,17.99,6.02,1,0,1,1,0,1
2025-09-29,true,f6554294-919e-451c-abc4-585847d436eb,Loyalty Promo - The Breakfast Bar (bus id: 226269),NULL,2023-06-15,2033-06-15,476794,The Breakfast Bar (E Houston Street),USD,1,19.98,5.00,0.00,0.00,0.00,0.00,0.00,19.98,4.00,0,0,1,0,0,0
2025-09-29,true,500b69c5-fade-4d2e-9529-70e74846ae06,Spend $10 get 15% off 09/20/2025,Order discount,2025-09-19,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,2,56.95,4.00,0.00,0.00,1.98,0.00,0.00,28.48,9.52,2,0,2,1,0,1
2025-10-04,true,a3cc8a3a-1596-46fd-a72d-5d3db8ce136a,"Smart campaign (upgraded from 20% off, up to $7)",Smart campaign,2025-10-01,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,1,39.96,5.99,0.00,0.00,0.99,0.00,0.00,39.96,5.72,0,1,1,0,0,0
2025-10-05,true,a3cc8a3a-1596-46fd-a72d-5d3db8ce136a,"Smart campaign (upgraded from 20% off, up to $7)",Smart campaign,2025-10-01,2025-10-31,476794,The Breakfast Bar (E Houston Street),USD,2,65.93,16.00,0.00,0.00,1.98,0.00,0.00,32.97,3.67,2,0,2,0,0,0
2025-09-30,true,7521fa9e-bfac-42e3-a17f-61b4c6d8e2b1,Spend $10 get 15% off 09/15/2025,Order discount,2025-09-15,2025-10-30,564064,The Salad Snob (Pico Blvd),USD,1,18.19,2.00,0.00,0.00,0.99,0.00,0.00,18.19,6.08,1,0,1,1,0,1
2025-10-01,true,7521fa9e-bfac-42e3-a17f-61b4c6d8e2b1,Spend $10 get 15% off 09/15/2025,Order discount,2025-09-15,2025-10-30,564064,The Salad Snob (Pico Blvd),USD,1,18.19,2.00,0.00,0.00,0.99,0.00,0.00,18.19,6.08,0,1,1,0,1,1
2025-09-28,true,3a6dcf15-fe4a-463f-a60c-b988a6a39622,Spend $20 get 20% off 09/19/2025,Order discount,2025-09-18,2025-10-31,610571,Vegan Indian Company (New York),USD,1,23.98,4.80,0.00,0.00,0.99,0.00,0.00,23.98,4.14,0,1,1,0,0,0
2025-09-29,true,3a6dcf15-fe4a-463f-a60c-b988a6a39622,Spend $20 get 20% off 09/19/2025,Order discount,2025-09-18,2025-10-31,610571,Vegan Indian Company (New York),USD,1,20.98,4.20,0.00,0.00,0.99,0.00,0.00,20.98,4.04,1,0,1,1,0,1
2025-09-28,true,0506221e-b059-4975-bbae-7853f502b55b,Spend $20 get 20% off 09/23/2025,Order discount,2025-09-23,2025-10-31,635466,The Ice Cream Snob,USD,1,24.98,5.00,0.00,0.00,0.99,0.00,0.00,24.98,4.17,1,0,1,1,0,1
2025-09-26,false,83076f88-368b-4817-ba26-30c84159e5e4,"First Order, 20% Off",Discount for new customers,2023-03-09,None,651703,The Water Distributor (San Francisco),USD,1,15.38,3.08,0.00,0.00,0.99,0.00,0.00,15.38,3.78,0,0,1,0,0,0
2025-09-22,true,accb638b-09ea-46e4-b96d-e4e5e7c06c9d,Spend $10 get $4 off 09/18/2025,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,17.99,2.70,0.00,0.00,0.99,0.00,0.00,17.99,4.88,0,1,1,0,0,0
2025-09-22,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,23.99,4.80,0.00,0.00,0.99,0.00,0.00,23.99,4.14,0,0,1,0,0,1
2025-09-23,false,c551732d-472a-4570-9ff4-2b7c1ec4d264,"First Order, 20% Off",Discount for new customers,2023-10-23,None,654838,Halal Doner Spot,USD,1,18.99,3.80,0.00,0.00,0.99,0.00,0.00,18.99,3.96,1,0,1,1,0,1
2025-09-23,true,be8c3c5b-829a-42aa-8824-b59caf963849,"First order, 20% off ",Discount for new customers,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,157.89,7.00,0.00,0.00,0.99,0.00,0.00,157.89,19.76,1,0,1,0,0,0
2025-09-23,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,2,67.94,12.80,0.00,0.00,1.98,0.00,0.00,33.97,4.60,0,2,2,0,2,2
2025-09-24,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,21.99,4.40,0.00,0.00,0.99,0.00,0.00,21.99,4.08,0,1,1,0,1,1
2025-09-24,true,04e8d7ca-9b8e-4fb4-bfc8-fdaf33a18b1e,Loyalty Promo - Halal Doner Spot (bus id: 304916),NULL,2023-06-15,2033-06-15,654838,Halal Doner Spot,USD,1,17.99,5.00,0.00,0.00,0.00,0.00,0.00,17.99,3.60,0,1,1,0,1,1
2025-09-24,true,be8c3c5b-829a-42aa-8824-b59caf963849,"First order, 20% off ",Discount for new customers,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,45.98,7.00,0.00,0.00,0.99,0.00,0.00,45.98,5.75,1,0,1,1,0,1
2025-09-25,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,21.98,4.40,0.00,0.00,0.99,0.00,0.00,21.98,4.08,0,1,1,0,1,1
2025-09-25,false,c551732d-472a-4570-9ff4-2b7c1ec4d264,"First Order, 20% Off",Discount for new customers,2023-10-23,None,654838,Halal Doner Spot,USD,1,19.98,4.00,0.00,0.00,0.99,0.00,0.00,19.98,4.00,1,0,1,1,0,1
2025-09-26,true,accb638b-09ea-46e4-b96d-e4e5e7c06c9d,Spend $10 get $4 off 09/18/2025,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,16.99,2.55,0.00,0.00,0.99,0.00,0.00,16.99,4.80,0,1,1,0,1,1
2025-09-26,true,04e8d7ca-9b8e-4fb4-bfc8-fdaf33a18b1e,Loyalty Promo - Halal Doner Spot (bus id: 304916),NULL,2023-06-15,2033-06-15,654838,Halal Doner Spot,USD,1,18.98,5.00,0.00,0.00,0.00,0.00,0.00,18.98,3.80,0,0,1,0,0,1
2025-09-27,false,c551732d-472a-4570-9ff4-2b7c1ec4d264,"First Order, 20% Off",Discount for new customers,2023-10-23,None,654838,Halal Doner Spot,USD,1,23.99,4.80,0.00,0.00,0.99,0.00,0.00,23.99,4.14,1,0,1,1,0,1
2025-09-28,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,32.98,6.60,0.00,0.00,0.99,0.00,0.00,32.98,4.35,0,1,1,0,1,1
2025-09-29,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,2,64.96,11.20,0.00,0.00,1.98,0.00,0.00,32.48,4.93,0,1,2,0,1,2
2025-09-30,false,c551732d-472a-4570-9ff4-2b7c1ec4d264,"First Order, 20% Off",Discount for new customers,2023-10-23,None,654838,Halal Doner Spot,USD,1,16.99,3.40,0.00,0.00,0.99,0.00,0.00,16.99,3.87,1,0,1,0,0,0
2025-09-30,true,04e8d7ca-9b8e-4fb4-bfc8-fdaf33a18b1e,Loyalty Promo - Halal Doner Spot (bus id: 304916),NULL,2023-06-15,2033-06-15,654838,Halal Doner Spot,USD,2,45.98,10.00,0.00,0.00,0.00,0.00,0.00,22.99,4.60,0,1,1,0,1,1
2025-10-01,true,04e8d7ca-9b8e-4fb4-bfc8-fdaf33a18b1e,Loyalty Promo - Halal Doner Spot (bus id: 304916),NULL,2023-06-15,2033-06-15,654838,Halal Doner Spot,USD,2,38.98,10.00,0.00,0.00,0.00,0.00,0.00,19.49,3.90,0,2,2,0,2,2
2025-10-03,true,be8c3c5b-829a-42aa-8824-b59caf963849,"First order, 20% off ",Discount for new customers,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,2,59.97,11.80,0.00,0.00,1.98,0.00,0.00,29.99,4.35,2,0,2,2,0,2
2025-10-04,false,c551732d-472a-4570-9ff4-2b7c1ec4d264,"First Order, 20% Off",Discount for new customers,2023-10-23,None,654838,Halal Doner Spot,USD,1,23.99,4.80,0.00,0.00,0.99,0.00,0.00,23.99,4.14,1,0,1,1,0,1
2025-10-04,true,4b39ee45-0428-45de-a7a7-29118fbafa45,Spend $20 get 20% off,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,23.99,4.80,0.00,0.00,0.99,0.00,0.00,23.99,4.14,0,1,1,0,0,0
2025-10-04,true,accb638b-09ea-46e4-b96d-e4e5e7c06c9d,Spend $10 get $4 off 09/18/2025,Order discount,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,17.99,2.70,0.00,0.00,0.99,0.00,0.00,17.99,4.88,1,0,1,1,0,1
2025-10-04,true,04e8d7ca-9b8e-4fb4-bfc8-fdaf33a18b1e,Loyalty Promo - Halal Doner Spot (bus id: 304916),NULL,2023-06-15,2033-06-15,654838,Halal Doner Spot,USD,1,17.99,5.00,0.00,0.00,0.00,0.00,0.00,17.99,3.60,0,1,1,0,1,1
2025-10-05,false,c551732d-472a-4570-9ff4-2b7c1ec4d264,"First Order, 20% Off",Discount for new customers,2023-10-23,None,654838,Halal Doner Spot,USD,1,21.99,4.40,0.00,0.00,0.99,0.00,0.00,21.99,4.08,1,0,1,0,0,0
2025-10-05,true,be8c3c5b-829a-42aa-8824-b59caf963849,"First order, 20% off ",Discount for new customers,2025-09-12,2025-11-01,654838,Halal Doner Spot,USD,1,51.96,7.00,0.00,0.00,0.99,0.00,0.00,51.96,6.50,1,0,1,1,0,1
2025-09-27,true,1c364fec-9e12-44c9-b64a-adfe68888ed3,Spend $20 get 20% off 09/26/2025,Order discount,2025-09-26,2025-10-30,690586,Halal Indian Monsoon (B St),USD,2,62.06,12.42,0.00,0.00,1.98,0.00,0.00,31.03,4.31,1,1,2,0,0,0
2025-09-28,true,1c364fec-9e12-44c9-b64a-adfe68888ed3,Spend $20 get 20% off 09/26/2025,Order discount,2025-09-26,2025-10-30,690586,Halal Indian Monsoon (B St),USD,1,33.17,6.63,0.00,0.00,0.99,0.00,0.00,33.17,4.35,0,1,1,0,1,1
2025-09-28,true,7599739e-6755-4aa6-a75d-879fca54e3be,Loyalty Promo - Mary's Pancake House (bus id: 340684),NULL,2023-05-30,2033-05-30,765909,"Mary's Pancake House (57th St, New York)",USD,2,52.95,14.00,0.00,0.00,0.00,0.00,0.00,26.48,3.78,0,2,2,0,1,1
2025-09-23,true,24d56486-2f9f-4142-8bb9-7cb8cb2d8de5,Loyalty Promo - Jose's Burrito Bar (bus id: 349338),NULL,2023-06-15,2033-06-15,768836,Jose's Burrito Bar,USD,1,17.98,5.00,0.00,0.00,0.00,0.00,0.00,17.98,3.60,0,1,1,0,1,1
2025-09-23,true,0a97b1b1-48fc-4ba2-b7dd-b21d9eb99a48,Spend $20 get 20% off 09/20/2025,Order discount,2025-09-19,2025-10-30,768836,Jose's Burrito Bar,USD,1,27.97,5.59,0.00,0.00,0.99,0.00,0.00,27.97,4.25,0,1,1,0,0,0
2025-09-24,true,fa9361e1-5b58-4abb-ac48-55895b07047a,Spend $20 get 20% off 09/20/2025,Order discount,2025-09-19,2025-10-30,768836,Jose's Burrito Bar,USD,2,42.95,8.59,0.00,0.00,1.98,0.00,0.00,21.48,4.06,2,0,2,1,0,1
2025-09-25,true,db88b14c-7ff1-444d-8700-1dd2480cbd7f,Spend $10 get 15% off 09/20/2025,Order discount,2025-09-19,2025-10-30,768836,Jose's Burrito Bar,USD,1,15.99,2.40,0.00,0.00,0.99,0.00,0.00,15.99,4.72,1,0,1,0,0,0
2025-09-26,true,0a97b1b1-48fc-4ba2-b7dd-b21d9eb99a48,Spend $20 get 20% off 09/20/2025,Order discount,2025-09-19,2025-10-30,768836,Jose's Burrito Bar,USD,1,20.98,4.20,0.00,0.00,0.99,0.00,0.00,20.98,4.04,0,1,1,0,1,1
2025-09-27,true,db88b14c-7ff1-444d-8700-1dd2480cbd7f,Spend $10 get 15% off 09/20/2025,Order discount,2025-09-19,2025-10-30,768836,Jose's Burrito Bar,USD,1,16.98,2.55,0.00,0.00,0.99,0.00,0.00,16.98,4.80,0,1,1,0,0,0
