Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-09-22,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,14,3,1,21.99,12.00,0.00,0.00,21.99,12.00,1.83,0,1,1
2025-09-23,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-24,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,11,1,1,26.99,5.09,0.00,0.00,26.99,5.09,5.30,1,0,1
2025-09-25,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-26,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,12,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-27,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-28,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,18,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-29,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,14,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-30,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,17,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-01,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,19,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-02,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,17,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-03,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,19,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-04,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,15,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-05,true,85ac702c-2e8c-4586-872c-7aece373a2f3,Sponsored Listing,2022-09-08,None,63275,Cheers on Demand (Fillmore St),USD,18,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-22,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-23,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-24,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-25,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-26,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-27,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-28,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-29,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-30,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-01,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-02,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-04,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-05,true,71a8cb92-2b9a-40ff-bd0c-e49780b7c419,Sponsored Listing,2022-09-08,None,394811,Food & Liquor World,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-22,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,2,1,1,15.95,3.00,0.00,0.00,15.95,3.00,5.32,0,1,1
2025-09-25,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-26,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-28,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-01,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-02,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-03,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-04,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-10-05,true,a7b3eef3-e29b-4702-9ca2-2ca2e22cbfe5,Sponsored Listing 08/29/2025,2025-08-29,None,457017,Times Square Pizza Boy,USD,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-22,true,4ceac508-c13f-4f06-b8d6-9b2f169eb6ae,Sponsored Listing 08/29/2025,2025-08-29,None,476794,The Breakfast Bar (E Houston Street),USD,6,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-23,true,4ceac508-c13f-4f06-b8d6-9b2f169eb6ae,Sponsored Listing 08/29/2025,2025-08-29,None,476794,The Breakfast Bar (E Houston Street),USD,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-24,true,4ceac508-c13f-4f06-b8d6-9b2f169eb6ae,Sponsored Listing 08/29/2025,2025-08-29,None,476794,The Breakfast Bar (E Houston Street),USD,8,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-25,true,4ceac508-c13f-4f06-b8d6-9b2f169eb6ae,Sponsored Listing 08/29/2025,2025-08-29,None,476794,The Breakfast Bar (E Houston Street),USD,7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-09-26,true,4ceac508-c13f-4f06-b8d6-9b2f169eb6ae,Sponsored Listing 08/29/2025,2025-08-29,None,476794,The Breakfast Bar (E Houston Street),USD,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
